,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,diff,isFire,fire_cat,geometry,index_right,poly_IncidentName,poly_GISAcres,attr_FireCause,attr_POOState,attr_FireOutDateTime,attr_POOCounty,attr_FireDiscoveryDateTime,attr_ICS209RptForTimePeriodFrom,attr_ContainmentDateTime,in_named_fire,endFire
4808,4808,4808,4808,4808,4808,4808,4808,4808,34.07049,-118.53415,300.5,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,285.26,0.93,N,0,15.240000000000009,1,0,POINT (-118.53415 34.07049),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4809,4809,4809,4809,4809,4809,4809,4809,4809,34.06973,-118.52981,305.34,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,285.06,1.21,N,0,20.279999999999973,1,0,POINT (-118.52981 34.06973),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4810,4810,4810,4810,4810,4810,4810,4810,4810,34.06895,-118.52537,305.76,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,285.66,1.21,N,0,20.099999999999966,1,0,POINT (-118.52537 34.06895),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4811,4811,4811,4811,4811,4811,4811,4811,4811,34.06818,-118.5209,314.53,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,285.96,59.01,N,0,28.569999999999993,1,2,POINT (-118.5209 34.06818),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4812,4812,4812,4812,4812,4812,4812,4812,4812,34.06251,-118.50852,328.72,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,290.1,2.07,N,0,38.620000000000005,1,0,POINT (-118.50852 34.06251),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4816,4816,4816,4816,4816,4816,4816,4816,4816,34.07014,-118.55222,317.98,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,284.75,2.92,N,0,33.23000000000002,1,0,POINT (-118.55222 34.07014),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4817,4817,4817,4817,4817,4817,4817,4817,4817,34.0694,-118.54797,303.61,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,285.35,0.89,N,0,18.25999999999999,1,0,POINT (-118.54797 34.0694),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4818,4818,4818,4818,4818,4818,4818,4818,4818,34.06865,-118.54362,302.03,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,284.75,0.89,N,0,17.279999999999973,1,0,POINT (-118.54362 34.06865),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4819,4819,4819,4819,4819,4819,4819,4819,4819,34.06635,-118.53047,301.91,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,285.3,0.6,N,0,16.610000000000014,1,0,POINT (-118.53047 34.06635),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4820,4820,4820,4820,4820,4820,4820,4820,4820,34.06558,-118.52612,303.36,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,285.43,0.6,N,0,17.930000000000007,1,0,POINT (-118.52612 34.06558),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4821,4821,4821,4821,4821,4821,4821,4821,4821,34.06482,-118.52171,305.85,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,285.69,0.92,N,0,20.160000000000025,1,0,POINT (-118.52171 34.06482),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4822,4822,4822,4822,4822,4822,4822,4822,4822,34.06404,-118.5173,313.78,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,286.05,0.92,N,0,27.72999999999996,1,0,POINT (-118.5173 34.06404),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
